,,RRI,RRI
83,15:30:02,1.383333333,1.383333333
,15:30:03,0,NaN
,15:30:04,0,NaN
,15:30:05,0,NaN
,15:30:06,0,NaN
84,15:30:07,1.4,1.4
,15:30:08,0,NaN
,15:30:09,0,NaN
,15:30:10,0,NaN
,15:30:11,0,NaN
85,15:30:12,1.416666667,1.416666667
,15:30:13,0,NaN
,15:30:14,0,NaN
,15:30:15,0,NaN
,15:30:16,0,NaN
,15:30:17,0,NaN
,15:30:18,0,NaN
,15:30:19,0,NaN
,15:30:20,0,NaN
,15:30:21,0,NaN
,15:30:22,0,NaN
,15:30:23,0,NaN
,15:30:24,0,NaN
,15:30:25,0,NaN
,15:30:26,0,NaN
85,15:30:27,1.416666667,1.416666667
,15:30:28,0,NaN
,15:30:29,0,NaN
,15:30:30,0,NaN
,15:30:31,0,NaN
87,15:30:32,1.45,1.45
,15:30:33,0,NaN
,15:30:34,0,NaN
,15:30:35,0,NaN
,15:30:36,0,NaN
,15:30:37,0,NaN
,15:30:38,0,NaN
,15:30:39,0,NaN
,15:30:40,0,NaN
,15:30:41,0,NaN
86,15:30:42,1.433333333,1.433333333
,15:30:43,0,NaN
,15:30:44,0,NaN
,15:30:45,0,NaN
,15:30:46,0,NaN
,15:30:47,0,NaN
,15:30:48,0,NaN
,15:30:49,0,NaN
,15:30:50,0,NaN
,15:30:51,0,NaN
,15:30:52,0,NaN
,15:30:53,0,NaN
,15:30:54,0,NaN
,15:30:55,0,NaN
,15:30:56,0,NaN
86,15:30:57,1.433333333,1.433333333
,15:30:58,0,NaN
,15:30:59,0,NaN
,15:31:00,0,NaN
,15:31:01,0,NaN
,15:31:02,0,NaN
,15:31:03,0,NaN
,15:31:04,0,NaN
88,15:31:05,1.466666667,1.466666667
,15:31:06,0,NaN
,15:31:07,0,NaN
,15:31:08,0,NaN
,15:31:09,0,NaN
89,15:31:10,1.483333333,1.483333333
,15:31:11,0,NaN
,15:31:12,0,NaN
,15:31:13,0,NaN
,15:31:14,0,NaN
90,15:31:15,1.5,1.5
,15:31:16,0,NaN
,15:31:17,0,NaN
,15:31:18,0,NaN
,15:31:19,0,NaN
92,15:31:20,1.533333333,1.533333333
,15:31:21,0,NaN
,15:31:22,0,NaN
,15:31:23,0,NaN
,15:31:24,0,NaN
,15:31:25,0,NaN
,15:31:26,0,NaN
,15:31:27,0,NaN
,15:31:28,0,NaN
,15:31:29,0,NaN
95,15:31:30,1.583333333,1.583333333
,15:31:31,0,NaN
,15:31:32,0,NaN
,15:31:33,0,NaN
,15:31:34,0,NaN
97,15:31:35,1.616666667,1.616666667
,15:31:36,0,NaN
,15:31:37,0,NaN
,15:31:38,0,NaN
,15:31:39,0,NaN
99,15:31:40,1.65,1.65
,15:31:41,0,NaN
,15:31:42,0,NaN
,15:31:43,0,NaN
,15:31:44,0,NaN
98,15:31:45,1.633333333,1.633333333
,15:31:46,0,NaN
,15:31:47,0,NaN
,15:31:48,0,NaN
,15:31:49,0,NaN
,15:31:50,0,NaN
,15:31:51,0,NaN
,15:31:52,0,NaN
,15:31:53,0,NaN
,15:31:54,0,NaN
,15:31:55,0,NaN
,15:31:56,0,NaN
,15:31:57,0,NaN
,15:31:58,0,NaN
,15:31:59,0,NaN
98,15:32:00,1.633333333,1.633333333
,15:32:01,0,NaN
,15:32:02,0,NaN
,15:32:03,0,NaN
,15:32:04,0,NaN
,15:32:05,0,NaN
,15:32:06,0,NaN
,15:32:07,0,NaN
,15:32:08,0,NaN
,15:32:09,0,NaN
101,15:32:10,1.683333333,1.683333333
,15:32:11,0,NaN
,15:32:12,0,NaN
,15:32:13,0,NaN
,15:32:14,0,NaN
106,15:32:15,1.766666667,1.766666667
,15:32:16,0,NaN
,15:32:17,0,NaN
,15:32:18,0,NaN
,15:32:19,0,NaN
111,15:32:20,1.85,1.85
,15:32:21,0,NaN
,15:32:22,0,NaN
,15:32:23,0,NaN
,15:32:24,0,NaN
113,15:32:25,1.883333333,1.883333333
,15:32:26,0,NaN
,15:32:27,0,NaN
,15:32:28,0,NaN
,15:32:29,0,NaN
,15:32:30,0,NaN
,15:32:31,0,NaN
,15:32:32,0,NaN
,15:32:33,0,NaN
,15:32:34,0,NaN
,15:32:35,0,NaN
,15:32:36,0,NaN
,15:32:37,0,NaN
,15:32:38,0,NaN
,15:32:39,0,NaN
113,15:32:40,1.883333333,1.883333333
,15:32:41,0,NaN
,15:32:42,0,NaN
,15:32:43,0,NaN
,15:32:44,0,NaN
,15:32:45,0,NaN
,15:32:46,0,NaN
,15:32:47,0,NaN
,15:32:48,0,NaN
,15:32:49,0,NaN
102,15:32:50,1.7,1.7
,15:32:51,0,NaN
,15:32:52,0,NaN
,15:32:53,0,NaN
,15:32:54,0,NaN
97,15:32:55,1.616666667,1.616666667
,15:32:56,0,NaN
,15:32:57,0,NaN
,15:32:58,0,NaN
,15:32:59,0,NaN
96,15:33:00,1.6,1.6
,15:33:01,0,NaN
,15:33:02,0,NaN
,15:33:03,0,NaN
,15:33:04,0,NaN
97,15:33:05,1.616666667,1.616666667
,15:33:06,0,NaN
,15:33:07,0,NaN
,15:33:08,0,NaN
,15:33:09,0,NaN
100,15:33:10,1.666666667,1.666666667
,15:33:11,0,NaN
,15:33:12,0,NaN
,15:33:13,0,NaN
,15:33:14,0,NaN
101,15:33:15,1.683333333,1.683333333
,15:33:16,0,NaN
,15:33:17,0,NaN
,15:33:18,0,NaN
,15:33:19,0,NaN
103,15:33:20,1.716666667,1.716666667
,15:33:21,0,NaN
,15:33:22,0,NaN
,15:33:23,0,NaN
,15:33:24,0,NaN
107,15:33:25,1.783333333,1.783333333
,15:33:26,0,NaN
,15:33:27,0,NaN
,15:33:28,0,NaN
,15:33:29,0,NaN
108,15:33:30,1.8,1.8
,15:33:31,0,NaN
,15:33:32,0,NaN
,15:33:33,0,NaN
,15:33:34,0,NaN
,15:33:35,0,NaN
,15:33:36,0,NaN
,15:33:37,0,NaN
,15:33:38,0,NaN
,15:33:39,0,NaN
102,15:33:40,1.7,1.7
,15:33:41,0,NaN
,15:33:42,0,NaN
,15:33:43,0,NaN
,15:33:44,0,NaN
98,15:33:45,1.633333333,1.633333333
,15:33:46,0,NaN
,15:33:47,0,NaN
,15:33:48,0,NaN
,15:33:49,0,NaN
,15:33:50,0,NaN
,15:33:51,0,NaN
99,15:33:52,1.65,1.65
,15:33:53,0,NaN
,15:33:54,0,NaN
,15:33:55,0,NaN
,15:33:56,0,NaN
100,15:33:57,1.666666667,1.666666667
,15:33:58,0,NaN
,15:33:59,0,NaN
,15:34:00,0,NaN
,15:34:01,0,NaN
102,15:34:02,1.7,1.7
,15:34:03,0,NaN
,15:34:04,0,NaN
,15:34:05,0,NaN
,15:34:06,0,NaN
,15:34:07,0,NaN
,15:34:08,0,NaN
,15:34:09,0,NaN
,15:34:10,0,NaN
,15:34:11,0,NaN
104,15:34:12,1.733333333,1.733333333
,15:34:13,0,NaN
,15:34:14,0,NaN
,15:34:15,0,NaN
,15:34:16,0,NaN
105,15:34:17,1.75,1.75
,15:34:18,0,NaN
,15:34:19,0,NaN
,15:34:20,0,NaN
,15:34:21,0,NaN
102,15:34:22,1.7,1.7
,15:34:23,0,NaN
,15:34:24,0,NaN
,15:34:25,0,NaN
,15:34:26,0,NaN
100,15:34:27,1.666666667,1.666666667
,15:34:28,0,NaN
,15:34:29,0,NaN
,15:34:30,0,NaN
,15:34:31,0,NaN
101,15:34:32,1.683333333,1.683333333
,15:34:33,0,NaN
,15:34:34,0,NaN
,15:34:35,0,NaN
,15:34:36,0,NaN
102,15:34:37,1.7,1.7
,15:34:38,0,NaN
,15:34:39,0,NaN
,15:34:40,0,NaN
,15:34:41,0,NaN
,15:34:42,0,NaN
,15:34:43,0,NaN
,15:34:44,0,NaN
,15:34:45,0,NaN
,15:34:46,0,NaN
101,15:34:47,1.683333333,1.683333333
,15:34:48,0,NaN
,15:34:49,0,NaN
,15:34:50,0,NaN
,15:34:51,0,NaN
,15:34:52,0,NaN
,15:34:53,0,NaN
,15:34:54,0,NaN
,15:34:55,0,NaN
,15:34:56,0,NaN
,15:34:57,0,NaN
,15:34:58,0,NaN
,15:34:59,0,NaN
,15:35:00,0,NaN
,15:35:01,0,NaN
103,15:35:02,1.716666667,1.716666667
,15:35:03,0,NaN
,15:35:04,0,NaN
,15:35:05,0,NaN
,15:35:06,0,NaN
104,15:35:07,1.733333333,1.733333333
,15:35:08,0,NaN
,15:35:09,0,NaN
,15:35:10,0,NaN
,15:35:11,0,NaN
104,15:35:12,1.733333333,1.733333333
,15:35:13,0,NaN
,15:35:14,0,NaN
,15:35:15,0,NaN
,15:35:16,0,NaN
,15:35:17,0,NaN
,15:35:18,0,NaN
,15:35:19,0,NaN
,15:35:20,0,NaN
,15:35:21,0,NaN
,15:35:22,0,NaN
,15:35:23,0,NaN
,15:35:24,0,NaN
,15:35:25,0,NaN
,15:35:26,0,NaN
104,15:35:27,1.733333333,1.733333333
,15:35:28,0,NaN
,15:35:29,0,NaN
,15:35:30,0,NaN
,15:35:31,0,NaN
105,15:35:32,1.75,1.75
,15:35:33,0,NaN
,15:35:34,0,NaN
,15:35:35,0,NaN
,15:35:36,0,NaN
104,15:35:37,1.733333333,1.733333333
,15:35:38,0,NaN
,15:35:39,0,NaN
,15:35:40,0,NaN
,15:35:41,0,NaN
103,15:35:42,1.716666667,1.716666667
,15:35:43,0,NaN
,15:35:44,0,NaN
,15:35:45,0,NaN
,15:35:46,0,NaN
99,15:35:47,1.65,1.65
,15:35:48,0,NaN
,15:35:49,0,NaN
,15:35:50,0,NaN
,15:35:51,0,NaN
95,15:35:52,1.583333333,1.583333333
,15:35:53,0,NaN
,15:35:54,0,NaN
,15:35:55,0,NaN
,15:35:56,0,NaN
,15:35:57,0,NaN
,15:35:58,0,NaN
