,time,rri,RRI
75,15:52:04,1.25,1.25
,15:52:05,0,NaN
,15:52:06,0,NaN
,15:52:07,0,NaN
,15:52:08,0,NaN
,15:52:09,0,NaN
,15:52:10,0,NaN
,15:52:11,0,NaN
,15:52:12,0,NaN
,15:52:13,0,NaN
,15:52:14,0,NaN
,15:52:15,0,NaN
,15:52:16,0,NaN
,15:52:17,0,NaN
,15:52:18,0,NaN
,15:52:19,1.283333333,1.283333333
77,15:52:20,0,NaN
,15:52:21,0,NaN
,15:52:22,0,NaN
,15:52:23,0,NaN
,15:52:24,1.3,1.3
,15:52:25,0,NaN
78,15:52:26,0,NaN
,15:52:27,0,NaN
,15:52:28,0,NaN
,15:52:29,0,NaN
,15:52:30,0,NaN
,15:52:31,0,NaN
,15:52:32,0,NaN
,15:52:33,0,NaN
,15:52:34,1.316666667,1.316666667
,15:52:35,0,NaN
,15:52:36,0,NaN
79,15:52:37,0,NaN
,15:52:38,0,NaN
,15:52:39,0,NaN
,15:52:40,0,NaN
,15:52:41,0,NaN
,15:52:42,0,NaN
,15:52:43,0,NaN
,15:52:44,1.3,1.3
,15:52:45,0,NaN
,15:52:46,0,NaN
,15:52:47,0,NaN
78,15:52:48,0,NaN
,15:52:49,1.316666667,1.316666667
,15:52:50,0,NaN
,15:52:51,0,NaN
,15:52:52,0,NaN
,15:52:53,0,NaN
79,15:52:54,0,NaN
,15:52:55,0,NaN
,15:52:56,0,NaN
,15:52:57,0,NaN
,15:52:58,0,NaN
,15:52:59,1.366666667,1.366666667
,15:53:00,0,NaN
,15:53:01,0,NaN
,15:53:02,0,NaN
,15:53:03,0,NaN
,15:53:04,1.366666667,1.366666667
82,15:53:05,0,NaN
,15:53:06,0,NaN
,15:53:07,0,NaN
,15:53:08,0,NaN
,15:53:09,1.35,1.35
,15:53:10,0,NaN
82,15:53:11,0,NaN
,15:53:12,0,NaN
,15:53:13,0,NaN
,15:53:14,1.333333333,1.333333333
,15:53:15,0,NaN
,15:53:16,0,NaN
81,15:53:17,0,NaN
,15:53:18,0,NaN
,15:53:19,0,NaN
,15:53:20,0,NaN
,15:53:21,0,NaN
,15:53:22,0,NaN
80,15:53:23,0,NaN
,15:53:24,0,NaN
,15:53:25,0,NaN
,15:53:26,0,NaN
,15:53:27,0,NaN
,15:53:28,0,NaN
,15:53:29,1.316666667,1.316666667
,15:53:30,0,NaN
,15:53:31,0,NaN
,15:53:32,0,NaN
,15:53:33,0,NaN
,15:53:34,1.3,1.3
,15:53:35,0,NaN
,15:53:36,0,NaN
,15:53:37,0,NaN
,15:53:38,0,NaN
79,15:53:39,0,NaN
,15:53:40,0,NaN
,15:53:41,0,NaN
,15:53:42,0,NaN
,15:53:43,0,NaN
,15:53:44,1.316666667,1.316666667
78,15:53:45,0,NaN
,15:53:46,0,NaN
,15:53:47,0,NaN
,15:53:48,0,NaN
,15:53:49,1.3,1.3
,15:53:50,0,NaN
,15:53:51,0,NaN
,15:53:52,0,NaN
,15:53:53,0,NaN
,15:53:54,1.266666667,1.266666667
,15:53:55,0,NaN
79,15:53:56,0,NaN
,15:53:57,0,NaN
,15:53:58,0,NaN
,15:53:59,0,NaN
,15:54:00,0,NaN
,15:54:01,0,NaN
78,15:54:02,0,NaN
,15:54:03,0,NaN
,15:54:04,1.283333333,1.283333333
,15:54:05,0,NaN
,15:54:06,0,NaN
,15:54:07,0,NaN
76,15:54:08,0,NaN
,15:54:09,1.366666667,1.366666667
,15:54:10,0,NaN
,15:54:11,0,NaN
,15:54:12,0,NaN
,15:54:13,0,NaN
,15:54:14,1.466666667,1.466666667
,15:54:15,0,NaN
,15:54:16,0,NaN
,15:54:17,0,NaN
,15:54:18,0,NaN
77,15:54:19,1.45,1.45
,15:54:20,0,NaN
,15:54:21,0,NaN
,15:54:22,0,NaN
,15:54:23,0,NaN
,15:54:24,1.366666667,1.366666667
82,15:54:25,0,NaN
,15:54:26,0,NaN
,15:54:27,0,NaN
,15:54:28,0,NaN
,15:54:29,0,NaN
,15:54:30,0,NaN
88,15:54:31,0,NaN
,15:54:32,0,NaN
